tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2020-06-24,KELAPA,4,5,24,61
2020-06-25,KELAPA,4,4,45,32
2020-06-26,KELAPA,2,2,6,38
2020-06-27,KELAPA,5,4,53,54
2020-06-28,KELAPA,4,5,44,65
2020-06-29,KELAPA,4,4,66,94
2020-06-30,KELAPA,3,5,81,135
2020-06-01,HARAPAN,1,1,3,0
2020-06-02,HARAPAN,0,2,0,5
2020-06-03,HARAPAN,1,1,5,0
2020-06-04,HARAPAN,0,0,0,0
2020-06-05,HARAPAN,1,1,4,0
2020-06-06,HARAPAN,0,0,0,0
2020-06-07,HARAPAN,0,0,0,0
2020-06-08,HARAPAN,2,1,6,8
2020-06-09,HARAPAN,2,1,0,5
2020-06-10,HARAPAN,0,0,0,0
2020-06-11,HARAPAN,0,0,0,0
2020-06-12,HARAPAN,0,0,0,0
2020-06-13,HARAPAN,3,4,26,26
2020-06-14,HARAPAN,1,1,5,0
2020-06-15,HARAPAN,2,2,7,8
2020-06-16,HARAPAN,0,1,0,0
2020-06-17,HARAPAN,0,0,0,0
2020-06-18,HARAPAN,0,0,0,0
2020-06-19,HARAPAN,2,0,3,0
2020-06-20,HARAPAN,1,0,0,0
2020-06-21,HARAPAN,1,1,8,8
2020-06-22,HARAPAN,2,1,7,7
2020-06-23,HARAPAN,2,2,0,2
2020-06-24,HARAPAN,1,2,0,0
2020-06-25,HARAPAN,0,0,0,0
2020-06-26,HARAPAN,3,0,4,0
2020-06-27,HARAPAN,0,2,0,115
2020-06-28,HARAPAN,2,0,8,0
2020-06-29,HARAPAN,1,1,8,9
2020-06-30,HARAPAN,1,2,33,19
2020-06-01,SABIRA,0,1,0,2
2020-06-02,SABIRA,0,1,0,0
2020-06-03,SABIRA,1,0,0,0
2020-06-04,SABIRA,0,1,0,0
2020-06-05,SABIRA,0,0,0,0
2020-06-06,SABIRA,0,0,0,0
2020-06-07,SABIRA,1,3,0,2
2020-06-08,SABIRA,0,2,0,0
2020-06-09,SABIRA,1,0,5,0
2020-06-10,SABIRA,1,1,0,6
2020-06-11,SABIRA,1,0,4,0
2020-06-12,SABIRA,1,0,0,0
2020-06-13,SABIRA,2,2,6,3
2020-06-14,SABIRA,1,0,6,0
2020-06-15,SABIRA,0,1,0,5
2020-06-16,SABIRA,1,0,5,0
2020-06-17,SABIRA,0,1,0,7
2020-06-18,SABIRA,1,0,6,0
2020-06-19,SABIRA,0,1,0,0
2020-06-20,SABIRA,1,1,4,0
2020-06-21,SABIRA,1,0,7,0
2020-06-22,SABIRA,0,1,0,5
2020-06-23,SABIRA,1,0,0,0
2020-06-24,SABIRA,0,1,0,6
2020-06-25,SABIRA,1,0,17,0
2020-06-26,SABIRA,1,1,8,8
2020-06-27,SABIRA,0,1,0,4
2020-06-28,SABIRA,1,0,2,0
2020-06-29,SABIRA,1,2,0,23
2020-06-30,SABIRA,0,1,0,5
